Average polarization				Separate polarizations
Wavelength (nm)	55.00 deg incidence reflectance	65.00 deg incidence reflectance	75.00 deg incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 deg incidence reflectance"	"s-Intensity, 55.00 deg incidence reflectance"	"p-Intensity, 65.00 deg incidence reflectance"	"s-Intensity, 65.00 deg incidence reflectance"	"p-Intensity, 75 deg incidence reflectance"	"s-Intensity, 75 deg incidence reflectance"
531.10022	0.590204	0.607028	0.519628	531.10022	0.424853	0.755554	0.336142	0.877915	0.150448	0.888809
532.69104	0.590876	0.606854	0.518682	532.69104	0.425125	0.756626	0.335822	0.877886	0.150124	0.88724
534.28186	0.590114	0.605226	0.51795	534.28186	0.423566	0.756662	0.334585	0.875868	0.149426	0.886473
535.872681	0.59005	0.603684	0.516521	535.872681	0.423483	0.756617	0.333168	0.8742	0.149333	0.883709
537.463379	0.589505	0.604709	0.515668	537.463379	0.422577	0.756432	0.333023	0.876396	0.148928	0.882408
539.054138	0.587985	0.602804	0.515139	539.054138	0.421117	0.754854	0.331259	0.874349	0.148311	0.881966
540.644897	0.58807	0.601742	0.515207	540.644897	0.420806	0.755334	0.330385	0.873098	0.148657	0.881757
542.235596	0.5879	0.602449	0.514472	542.235596	0.420549	0.755251	0.330288	0.87461	0.148279	0.880664
543.826294	0.587134	0.604001	0.514656	543.826294	0.419367	0.754902	0.3308	0.877202	0.148483	0.880829
545.416992	0.587693	0.604399	0.514268	545.416992	0.419479	0.755908	0.330251	0.878546	0.148245	0.880292
547.00769	0.588377	0.603836	0.514114	547.00769	0.419278	0.757476	0.329366	0.878306	0.148007	0.880221
548.598267	0.586649	0.602289	0.512596	548.598267	0.417619	0.75568	0.327964	0.876614	0.147412	0.877781
550.188904	0.58637	0.600823	0.513059	550.188904	0.416791	0.755949	0.326968	0.874678	0.147335	0.878782
551.779541	0.586877	0.600445	0.513578	551.779541	0.417044	0.756711	0.325363	0.875526	0.147521	0.879635
